card_id,@qr_image,url
YSLC169,qrs/YSLC169.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC169
YSLC170,qrs/YSLC170.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC170
YSLC171,qrs/YSLC171.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC171
YSLC172,qrs/YSLC172.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC172
YSLC173,qrs/YSLC173.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC173
YSLC174,qrs/YSLC174.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC174
YSLC175,qrs/YSLC175.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC175
YSLC176,qrs/YSLC176.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC176
YSLC177,qrs/YSLC177.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC177
YSLC178,qrs/YSLC178.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC178
YSLC179,qrs/YSLC179.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC179
YSLC180,qrs/YSLC180.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC180
YSLC181,qrs/YSLC181.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC181
YSLC182,qrs/YSLC182.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC182
YSLC183,qrs/YSLC183.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC183
YSLC184,qrs/YSLC184.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC184
YSLC185,qrs/YSLC185.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC185
YSLC186,qrs/YSLC186.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC186
YSLC187,qrs/YSLC187.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC187
YSLC188,qrs/YSLC188.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC188
YSLC189,qrs/YSLC189.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC189
YSLC190,qrs/YSLC190.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC190
YSLC191,qrs/YSLC191.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC191
YSLC192,qrs/YSLC192.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC192
YSLC193,qrs/YSLC193.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC193
YSLC194,qrs/YSLC194.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC194
YSLC195,qrs/YSLC195.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC195
YSLC196,qrs/YSLC196.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC196
YSLC197,qrs/YSLC197.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC197
YSLC198,qrs/YSLC198.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC198
YSLC199,qrs/YSLC199.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC199
YSLC200,qrs/YSLC200.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC200
